Bruttobetrag,SOLL/HABEN,"Konto (Erlöskonto)","Gegenkonto (Debitor)",Belegdatum,Belegnummer,Buchungstext,Zahlungsart,Dokument
26.98,H,44020,111112,091120,20001836,"A: 12006177 | K: 10852",PayPal,PDF
28.57,H,44020,111112,101120,20001845,"A: 12006198 | K: 10871",PayPal,PDF
92.72,H,44020,111112,221220,20002217,"A: 12006577 | K: 11254",PayPal,PDF
40.47,H,44020,111112,201020,20001722,"A: 12006038 | K: 10677","Mollie PayPal",PDF
28.66,H,44020,111112,161120,20001871,"A: 12006226 | K: 10895",PayPal,PDF
61.98,H,44020,111112,301120,20001971,"A: 12006327 | K: 10997",PayPal,PDF
29.35,H,44020,111112,231120,20001924,"A: 12006279 | K: 10949",PayPal,PDF
55.03,H,44020,111112,291220,20002315,"A: 12006682 | K: 11363",PayPal,PDF
25.82,H,44020,111112,311220,20002380,"A: 12006745 | K: 11431",PayPal,PDF
55.37,H,44020,111112,081220,20002026,"A: 12006379 | K: 11050",Kreditkarte,PDF
46.79,H,44020,111112,021220,20001980,"A: 12006335 | K: 11005",PayPal,PDF
27.98,H,44020,111112,281220,20002240,"A: 12006601 | K: 11279",PayPal,PDF
27.98,H,44020,111112,301220,20002361,"A: 12006729 | K: 11413",PayPal,PDF
70.99,H,44020,111112,231120,20001929,"A: 12006286 | K: 10956",PayPal,PDF
16.88,H,44020,111112,281220,20002282,"A: 12006649 | K: 11328",PayPal,PDF
27.88,H,44020,111112,231120,20001921,"A: 12006276 | K: 10947",PayPal,PDF
22.97,H,44020,111112,011220,20001977,"A: 12006332 | K: 11002",PayPal,PDF
19.19,H,44020,111112,090121,20002077,"A: 12006435 | K: 11108",PayPal,PDF
44.51,H,44020,111112,090121,20002601,"A: 12006560 | K: 11236",PayPal,PDF
25.67,H,44020,111112,161220,20002110,"A: 12006468 | K: 11143",PayPal,PDF
47.84,H,44020,111112,021120,20001791,"A: 12006132 | K: 10814",PayPal,PDF
78.88,H,44020,111112,141220,20002062,"A: 12006421 | K: 11094",PayPal,PDF
50.4,H,44020,111112,251120,20001943,"A: 12006297 | K: 10966","SOFORT Überweisung",PDF
27.98,H,44020,111112,281220,20002247,"A: 12006626 | K: 11306",PayPal,PDF
14.27,H,44020,111112,090121,20002093,"A: 12006450 | K: 11123",PayPal,PDF
